printing l1
[Gene9_UP] : 50
[Gene18_Down] : 53
[Gene92_UP] : 47
[Gene91_UP] : 65
[Gene61_Down] : 51
[Gene25_UP] : 57
[Gene57_Down] : 51
[Gene52_Down] : 65
[Gene69_UP] : 38
[Gene7_UP] : 49
[Gene46_UP] : 48
[Gene68_UP] : 39
[Gene95_Down] : 60
[Gene4_UP] : 50
[Gene18_UP] : 47
[Gene23_UP] : 54
[Gene80_Down] : 64
[Gene86_Down] : 54
[Gene35_UP] : 47
[Gene68_Down] : 61
[Gene31_UP] : 51
[Gene13_UP] : 32
[Gene23_Down] : 46
[Gene13_Down] : 68
[Gene61_UP] : 49
[Gene24_Down] : 63
[Gene33_Down] : 51
[Gene27_Down] : 49
[Gene67_UP] : 62
[Gene84_Down] : 46
[Gene54_Down] : 33
[Breast Cancer] : 39
[Gene99_UP] : 56
[Gene81_UP] : 58
[Gene65_UP] : 39
[Gene8_Down] : 34
[Gene32_Down] : 68
[Gene39_UP] : 51
[Gene21_Down] : 38
[Gene26_Down] : 48
[Gene52_UP] : 35
[Gene42_Down] : 52
[Gene70_Down] : 66
[Gene96_Down] : 71
[Gene97_UP] : 39
[Gene78_Down] : 41
[Gene29_Down] : 52
[Gene93_Down] : 47
[Gene95_UP] : 40
[Gene64_Down] : 50
[Gene74_UP] : 47
[Gene98_UP] : 51
[Gene90_Down] : 48
[Gene14_UP] : 52
[Gene1_Down] : 31
[Gene60_Down] : 46
[Gene94_Down] : 38
[Gene43_UP] : 50
[Gene66_UP] : 59
[Gene82_UP] : 32
[Gene89_UP] : 59
[Gene53_UP] : 50
[Gene47_UP] : 66
[Gene53_Down] : 50
[Gene87_Down] : 33
[Gene79_UP] : 48
[Gene45_UP] : 58
[Gene43_Down] : 50
[Gene62_UP] : 47
[Gene34_UP] : 44
[Gene84_UP] : 54
[Gene60_UP] : 54
[Gene37_UP] : 56
[Gene27_UP] : 51
[Gene94_UP] : 62
[Gene88_Down] : 71
[Gene87_UP] : 67
[Gene63_UP] : 50
[Gene41_Down] : 64
[Gene71_UP] : 58
[Gene67_Down] : 38
[Gene4_Down] : 50
[Gene37_Down] : 44
[Gene9_Down] : 50
[Gene44_Down] : 58
[Gene45_Down] : 42
[Gene81_Down] : 42
[Gene89_Down] : 41
[Gene79_Down] : 52
[Gene35_Down] : 53
[Gene76_UP] : 38
[Gene3_Down] : 50
[Gene25_Down] : 43
[Gene100_Down] : 53
[Gene99_Down] : 44
[Gene2_Down] : 66
[Gene10_UP] : 30
[Gene12_UP] : 54
[Gene56_UP] : 51
[Gene5_Down] : 46
[Gene36_Down] : 39
[Gene17_UP] : 55
[Gene69_Down] : 62
[Gene7_Down] : 51
[Gene58_Down] : 64
[Gene50_Down] : 50
[Gene20_Down] : 53
[Gene6_Down] : 34
[Gene72_UP] : 74
[Gene73_Down] : 52
[Gene30_Down] : 56
[Gene93_UP] : 53
[Gene51_Down] : 56
[Gene90_UP] : 52
[Gene80_UP] : 36
[Gene24_UP] : 37
[Gene2_UP] : 34
[Gene77_UP] : 58
[Gene85_UP] : 49
[Gene75_Down] : 43
[Gene56_Down] : 49
[Gene20_UP] : 47
[Gene83_Down] : 50
[Gene47_Down] : 34
[Gene48_UP] : 57
[Gene21_UP] : 62
[Gene12_Down] : 46
[Gene91_Down] : 35
[Gene85_Down] : 51
[Gene78_UP] : 59
[Gene11_UP] : 43
[Gene55_UP] : 55
[Gene48_Down] : 43
[Gene49_Down] : 52
[Gene11_Down] : 57
[Gene97_Down] : 61
[Gene82_Down] : 68
[Gene34_Down] : 56
[Gene66_Down] : 41
[Gene5_UP] : 54
[Gene76_Down] : 62
[Gene14_Down] : 48
[Gene49_UP] : 48
[Gene62_Down] : 53
[Gene22_Down] : 45
[Gene6_UP] : 66
[Gene3_UP] : 50
[Gene75_UP] : 57
[Gene73_UP] : 48
[Gene40_UP] : 47
[Gene42_UP] : 48
[Gene74_Down] : 53
[Gene71_Down] : 42
[Gene1_UP] : 69
[Gene70_UP] : 34
[Gene33_UP] : 49
[Gene44_UP] : 42
[Gene32_UP] : 32
[Gene16_UP] : 42
[Gene40_Down] : 53
[Gene15_UP] : 44
[Gene36_UP] : 61
[Gene54_UP] : 67
[Gene83_UP] : 50
[Gene31_Down] : 49
[Gene10_Down] : 70
[Gene19_UP] : 47
[Gene19_Down] : 53
[ALL] : 38
[Gene29_UP] : 48
[Gene64_UP] : 50
[Gene86_UP] : 46
[Gene22_UP] : 55
[Gene41_UP] : 36
[Gene28_Down] : 71
[Gene39_Down] : 49
[Gene26_UP] : 52
[Gene98_Down] : 49
[Gene65_Down] : 61
[Gene63_Down] : 50
[Gene59_UP] : 76
[Gene77_Down] : 42
[Gene17_Down] : 45
[Gene55_Down] : 45
[Gene100_UP] : 47
[Gene58_UP] : 36
[Gene92_Down] : 53
[Gene8_UP] : 66
[Gene15_Down] : 56
[Gene30_UP] : 44
[Gene50_UP] : 50
[Gene38_Down] : 73
[Gene16_Down] : 58
[Gene46_Down] : 52
[Gene51_UP] : 44
[Gene57_UP] : 49
printing l2
[Gene23_UP, Gene70_Down] : 35
[Gene72_UP, Gene20_Down] : 42
[Gene53_Down, Gene36_UP] : 32
[Gene26_UP, Gene34_Down] : 32
[Gene72_UP, Gene25_Down] : 33
[Gene78_UP, Gene86_Down] : 33
[Gene9_Down, Gene52_Down] : 34
[Gene3_Down, Gene58_Down] : 30
[Gene52_Down, Gene73_UP] : 35
[Gene52_Down, Gene66_UP] : 38
[Gene59_UP, Gene99_UP] : 45
[Gene78_UP, Gene65_Down] : 39
[Gene72_UP, Gene4_Down] : 40
[Gene77_Down, Gene1_UP] : 34
[Gene52_Down, Gene8_UP] : 40
[Gene16_Down, Gene100_Down] : 33
[Gene75_UP, Gene24_Down] : 34
[Gene67_UP, Gene28_Down] : 45
[Gene76_Down, Gene77_UP] : 34
[Gene15_Down, Gene29_UP] : 31
[Gene24_Down, Gene49_UP] : 31
[Gene92_UP, Gene68_Down] : 30
[Gene85_Down, Gene71_UP] : 32
[Gene91_UP, Gene98_Down] : 32
[Gene28_Down, Gene37_UP] : 43
[Gene72_UP, Gene15_Down] : 42
[Gene87_UP, Gene22_UP] : 36
[Gene15_UP, Gene94_UP] : 30
[Gene72_UP, Gene37_UP] : 38
[Gene64_UP, Gene45_UP] : 32
[Gene47_UP, Gene62_UP] : 36
[Gene18_UP, Gene91_UP] : 34
[Gene84_UP, Gene25_UP] : 35
[Gene78_UP, Gene31_UP] : 31
[Gene67_UP, Gene42_UP] : 35
[Gene55_UP, Gene54_UP] : 37
[Gene59_UP, Gene50_UP] : 39
[Gene41_Down, Gene83_UP] : 32
[Gene39_UP, Gene96_Down] : 37
[Gene96_Down, Gene1_UP] : 47
[Gene41_Down, Gene37_UP] : 39
[Gene24_Down, Gene17_UP] : 31
[Gene52_Down, Gene4_UP] : 32
[Gene67_UP, Gene10_Down] : 48
[Gene7_Down, Gene93_UP] : 30
[Gene10_Down, Gene13_Down] : 47
[Gene29_Down, Gene32_Down] : 37
[Gene38_Down, Gene23_Down] : 32
[Gene28_Down, Gene33_Down] : 40
[Gene38_Down, Gene49_UP] : 37
[Gene39_UP, Gene86_Down] : 31
[Gene97_UP, Gene88_Down] : 31
[Gene34_Down, Gene1_UP] : 39
[Gene11_Down, Gene20_Down] : 33
[Gene23_UP, Gene95_Down] : 31
[Gene3_Down, Gene54_UP] : 34
[Gene12_UP, Gene52_Down] : 38
[Gene52_Down, Gene98_UP] : 30
[Gene59_UP, Gene64_Down] : 38
[Gene87_UP, Gene98_Down] : 33
[Gene59_UP, Gene94_Down] : 31
[Gene98_Down, Gene49_Down] : 30
[Gene79_Down, Gene68_Down] : 30
[Gene93_UP, Gene56_Down] : 32
[Gene99_UP, Gene68_Down] : 35
[Gene47_UP, Gene57_Down] : 34
[Gene86_Down, Gene91_UP] : 34
[Gene87_UP, Breast Cancer] : 30
[Gene9_Down, Gene38_Down] : 40
[Gene67_UP, Gene86_Down] : 31
[Gene30_UP, Gene88_Down] : 30
[Gene58_Down, Gene93_UP] : 32
[Gene54_UP, Gene90_Down] : 31
[Gene2_Down, Gene31_UP] : 31
[Gene19_Down, Gene37_UP] : 31
[Gene80_Down, Gene8_UP] : 46
