printing l1
[Gene18_Down] : 53
[Gene9_UP] : 50
[Gene92_UP] : 47
[Gene72_UP] : 74
[Gene73_Down] : 52
[Gene91_UP] : 65
[Gene61_Down] : 51
[Gene30_Down] : 56
[Gene93_UP] : 53
[Gene25_UP] : 57
[Gene57_Down] : 51
[Gene52_Down] : 65
[Gene51_Down] : 56
[Gene7_UP] : 49
[Gene46_UP] : 48
[Gene95_Down] : 60
[Gene4_UP] : 50
[Gene90_UP] : 52
[Gene23_UP] : 54
[Gene18_UP] : 47
[Gene80_Down] : 64
[Gene86_Down] : 54
[Gene35_UP] : 47
[Gene77_UP] : 58
[Gene68_Down] : 61
[Gene23_Down] : 46
[Gene31_UP] : 51
[Gene85_UP] : 49
[Gene56_Down] : 49
[Gene75_Down] : 43
[Gene13_Down] : 68
[Gene20_UP] : 47
[Gene61_UP] : 49
[Gene83_Down] : 50
[Gene24_Down] : 63
[Gene48_UP] : 57
[Gene33_Down] : 51
[Gene12_Down] : 46
[Gene21_UP] : 62
[Gene27_Down] : 49
[Gene85_Down] : 51
[Gene67_UP] : 62
[Gene84_Down] : 46
[Gene78_UP] : 59
[Gene11_UP] : 43
[Gene55_UP] : 55
[Gene48_Down] : 43
[Gene99_UP] : 56
[Gene49_Down] : 52
[Gene81_UP] : 58
[Gene32_Down] : 68
[Gene39_UP] : 51
[Gene26_Down] : 48
[Gene11_Down] : 57
[Gene97_Down] : 61
[Gene82_Down] : 68
[Gene34_Down] : 56
[Gene42_Down] : 52
[Gene70_Down] : 66
[Gene66_Down] : 41
[Gene96_Down] : 71
[Gene5_UP] : 54
[Gene78_Down] : 41
[Gene76_Down] : 62
[Gene49_UP] : 48
[Gene14_Down] : 48
[Gene29_Down] : 52
[Gene62_Down] : 53
[Gene22_Down] : 45
[Gene6_UP] : 66
[Gene3_UP] : 50
[Gene75_UP] : 57
[Gene73_UP] : 48
[Gene93_Down] : 47
[Gene64_Down] : 50
[Gene95_UP] : 40
[Gene42_UP] : 48
[Gene40_UP] : 47
[Gene74_Down] : 53
[Gene74_UP] : 47
[Gene98_UP] : 51
[Gene71_Down] : 42
[Gene1_UP] : 69
[Gene90_Down] : 48
[Gene14_UP] : 52
[Gene44_UP] : 42
[Gene33_UP] : 49
[Gene60_Down] : 46
[Gene16_UP] : 42
[Gene43_UP] : 50
[Gene66_UP] : 59
[Gene40_Down] : 53
[Gene15_UP] : 44
[Gene54_UP] : 67
[Gene36_UP] : 61
[Gene89_UP] : 59
[Gene53_UP] : 50
[Gene53_Down] : 50
[Gene47_UP] : 66
[Gene79_UP] : 48
[Gene83_UP] : 50
[Gene45_UP] : 58
[Gene31_Down] : 49
[Gene10_Down] : 70
[Gene43_Down] : 50
[Gene19_UP] : 47
[Gene62_UP] : 47
[Gene19_Down] : 53
[Gene84_UP] : 54
[Gene34_UP] : 44
[Gene37_UP] : 56
[Gene60_UP] : 54
[Gene27_UP] : 51
[Gene94_UP] : 62
[Gene29_UP] : 48
[Gene88_Down] : 71
[Gene87_UP] : 67
[Gene64_UP] : 50
[Gene63_UP] : 50
[Gene41_Down] : 64
[Gene86_UP] : 46
[Gene71_UP] : 58
[Gene22_UP] : 55
[Gene37_Down] : 44
[Gene4_Down] : 50
[Gene9_Down] : 50
[Gene28_Down] : 71
[Gene39_Down] : 49
[Gene44_Down] : 58
[Gene26_UP] : 52
[Gene45_Down] : 42
[Gene81_Down] : 42
[Gene98_Down] : 49
[Gene65_Down] : 61
[Gene63_Down] : 50
[Gene89_Down] : 41
[Gene77_Down] : 42
[Gene59_UP] : 76
[Gene79_Down] : 52
[Gene100_UP] : 47
[Gene55_Down] : 45
[Gene17_Down] : 45
[Gene35_Down] : 53
[Gene3_Down] : 50
[Gene92_Down] : 53
[Gene25_Down] : 43
[Gene8_UP] : 66
[Gene99_Down] : 44
[Gene100_Down] : 53
[Gene15_Down] : 56
[Gene2_Down] : 66
[Gene30_UP] : 44
[Gene12_UP] : 54
[Gene56_UP] : 51
[Gene5_Down] : 46
[Gene50_UP] : 50
[Gene38_Down] : 73
[Gene17_UP] : 55
[Gene16_Down] : 58
[Gene46_Down] : 52
[Gene51_UP] : 44
[Gene69_Down] : 62
[Gene7_Down] : 51
[Gene58_Down] : 64
[Gene50_Down] : 50
[Gene57_UP] : 49
[Gene20_Down] : 53
printing l2
[Gene47_UP, Gene30_Down] : 41
[Gene72_UP, Gene100_Down] : 42
[Gene72_UP, Gene20_Down] : 42
[Gene97_Down, Gene88_Down] : 40
[Gene10_Down, Gene96_Down] : 47
[Gene24_Down, Gene82_Down] : 40
[Gene41_Down, Gene65_Down] : 42
[Gene17_UP, Gene70_Down] : 41
[Gene59_UP, Gene34_Down] : 42
[Gene72_UP, Gene28_Down] : 49
[Gene59_UP, Gene54_UP] : 49
[Gene47_UP, Gene66_UP] : 41
[Gene10_Down, Gene80_Down] : 48
[Gene38_Down, Gene60_UP] : 42
[Gene2_Down, Gene88_Down] : 48
[Gene59_UP, Gene99_UP] : 45
[Gene1_UP, Gene54_UP] : 50
[Gene32_Down, Gene89_UP] : 40
[Gene59_UP, Gene31_UP] : 40
[Gene32_Down, Gene36_UP] : 40
[Gene72_UP, Gene74_Down] : 40
[Gene59_UP, Gene10_Down] : 50
[Gene72_UP, Gene4_Down] : 40
[Gene32_Down, Gene95_Down] : 41
[Gene96_Down, Gene21_UP] : 43
[Gene82_Down, Gene66_UP] : 40
[Gene82_Down, Gene1_UP] : 46
[Gene52_Down, Gene8_UP] : 40
[Gene59_UP, Gene89_UP] : 45
[Gene82_Down, Gene49_Down] : 40
[Gene38_Down, Gene5_UP] : 41
[Gene67_UP, Gene69_Down] : 41
[Gene52_Down, Gene37_UP] : 40
[Gene67_UP, Gene28_Down] : 45
[Gene59_UP, Gene41_Down] : 47
[Gene80_Down, Gene2_Down] : 44
[Gene28_Down, Gene65_Down] : 43
[Gene69_Down, Gene24_Down] : 44
[Gene53_UP, Gene13_Down] : 41
[Gene59_UP, Gene95_Down] : 47
[Gene32_Down, Gene68_Down] : 46
[Gene5_UP, Gene91_UP] : 40
[Gene28_Down, Gene37_UP] : 43
[Gene72_UP, Gene15_Down] : 42
[Gene6_UP, Gene80_Down] : 40
[Gene36_UP, Gene13_Down] : 44
[Gene15_Down, Gene88_Down] : 40
[Gene38_Down, Gene65_Down] : 50
[Gene72_UP, Gene14_UP] : 40
[Gene96_Down, Gene95_Down] : 42
[Gene47_UP, Gene60_UP] : 40
[Gene45_UP, Gene70_Down] : 40
[Gene96_Down, Gene1_UP] : 47
[Gene41_Down, Gene32_Down] : 43
[Gene60_UP, Gene1_UP] : 40
[Gene72_UP, Gene35_Down] : 40
[Gene72_UP, Gene54_UP] : 49
[Gene65_Down, Gene88_Down] : 40
[Gene58_Down, Gene95_Down] : 40
[Gene10_Down, Gene24_Down] : 43
[Gene96_Down, Gene29_Down] : 41
[Gene28_Down, Gene97_Down] : 43
[Gene67_UP, Gene10_Down] : 48
[Gene10_Down, Gene13_Down] : 47
[Gene28_Down, Gene33_Down] : 40
[Gene28_Down, Gene1_UP] : 48
[Gene72_UP, Gene16_Down] : 48
[Gene96_Down, Gene76_Down] : 42
[Gene6_UP, Gene89_UP] : 41
[Gene87_UP, Gene8_UP] : 44
[Gene59_UP, Gene4_Down] : 40
[Gene58_Down, Gene76_Down] : 40
[Gene96_Down, Gene38_Down] : 46
[Gene87_UP, Gene41_Down] : 47
[Gene52_Down, Gene99_UP] : 42
[Gene6_UP, Gene91_UP] : 49
[Gene96_Down, Gene36_UP] : 46
[Gene10_Down, Gene68_Down] : 43
[Gene69_Down, Gene10_Down] : 44
[Gene28_Down, Gene51_Down] : 43
[Gene41_Down, Gene38_Down] : 50
[Gene59_UP, Gene86_Down] : 42
[Gene10_Down, Gene54_UP] : 46
[Gene72_UP, Gene33_UP] : 40
[Gene76_Down, Gene13_Down] : 41
[Gene24_Down, Gene1_UP] : 46
[Gene28_Down, Gene99_UP] : 42
[Gene72_UP, Gene32_Down] : 50
[Gene59_UP, Gene82_Down] : 57
[Gene58_Down, Gene65_Down] : 46
[Gene35_Down, Gene88_Down] : 40
[Gene28_Down, Gene95_Down] : 43
[Gene87_UP, Gene80_Down] : 41
[Gene10_Down, Gene38_Down] : 53
[Gene59_UP, Gene65_Down] : 45
[Gene28_Down, Gene29_Down] : 40
[Gene1_UP, Gene88_Down] : 48
[Gene71_UP, Gene88_Down] : 44
[Gene91_UP, Gene30_Down] : 40
[Gene47_UP, Gene21_UP] : 45
[Gene87_UP, Gene81_UP] : 42
[Gene94_UP, Gene70_Down] : 44
[Gene52_Down, Gene13_Down] : 44
[Gene41_Down, Gene24_Down] : 43
[Gene38_Down, Gene36_UP] : 42
[Gene6_UP, Gene2_Down] : 45
[Gene23_UP, Gene13_Down] : 40
[Gene38_Down, Gene1_UP] : 54
[Gene96_Down, Gene97_Down] : 46
[Gene38_Down, Gene16_Down] : 41
