[Gene38_Down] -> [Gene59_UP] ( confidence : 0.726027397260274 | support : 0.53 ),
[Gene59_UP] -> [Gene38_Down] ( confidence : 0.6973684210526315 | support : 0.53 ),
[Gene36_UP] -> [Gene38_Down] ( confidence : 0.6885245901639344 | support : 0.42 ),
[Gene38_Down] -> [Gene36_UP] ( confidence : 0.5753424657534246 | support : 0.42 ),
[Gene26_UP] -> [Gene2_Down] ( confidence : 0.7692307692307693 | support : 0.4 ),
[Gene2_Down] -> [Gene26_UP] ( confidence : 0.6060606060606061 | support : 0.4 ),
[Gene25_UP] -> [Gene88_Down] ( confidence : 0.7017543859649122 | support : 0.4 ),
[Gene88_Down] -> [Gene25_UP] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene88_Down] -> [Gene72_UP] ( confidence : 0.676056338028169 | support : 0.48 ),
[Gene72_UP] -> [Gene88_Down] ( confidence : 0.6486486486486487 | support : 0.48 ),
[Gene88_Down] -> [Gene70_Down] ( confidence : 0.6197183098591549 | support : 0.44 ),
[Gene70_Down] -> [Gene88_Down] ( confidence : 0.6666666666666666 | support : 0.44 ),
[Gene76_Down] -> [Gene82_Down] ( confidence : 0.6935483870967742 | support : 0.43 ),
[Gene82_Down] -> [Gene76_Down] ( confidence : 0.6323529411764706 | support : 0.43 ),
[Gene36_UP] -> [Gene10_Down] ( confidence : 0.6557377049180327 | support : 0.4 ),
[Gene10_Down] -> [Gene36_UP] ( confidence : 0.5714285714285714 | support : 0.4 ),
[Gene31_UP] -> [Gene59_UP] ( confidence : 0.7843137254901961 | support : 0.4 ),
[Gene59_UP] -> [Gene31_UP] ( confidence : 0.5263157894736842 | support : 0.4 ),
[Gene10_Down] -> [Gene59_UP] ( confidence : 0.7142857142857143 | support : 0.5 ),
[Gene59_UP] -> [Gene10_Down] ( confidence : 0.6578947368421053 | support : 0.5 ),
[Gene80_Down] -> [Gene1_UP] ( confidence : 0.734375 | support : 0.47 ),
[Gene1_UP] -> [Gene80_Down] ( confidence : 0.6811594202898551 | support : 0.47 ),
[Gene28_Down] -> [Gene89_UP] ( confidence : 0.5915492957746479 | support : 0.42 ),
[Gene89_UP] -> [Gene28_Down] ( confidence : 0.711864406779661 | support : 0.42 ),
[Gene76_Down] -> [Gene70_Down] ( confidence : 0.6935483870967742 | support : 0.43 ),
[Gene70_Down] -> [Gene76_Down] ( confidence : 0.6515151515151515 | support : 0.43 ),
[Gene71_UP] -> [Gene8_UP] ( confidence : 0.6896551724137931 | support : 0.4 ),
[Gene8_UP] -> [Gene71_UP] ( confidence : 0.6060606060606061 | support : 0.4 ),
[Gene1_UP] -> [Gene78_UP] ( confidence : 0.5797101449275363 | support : 0.4 ),
[Gene78_UP] -> [Gene1_UP] ( confidence : 0.6779661016949152 | support : 0.4 ),
