printing l1
{Gene9_UP} : 50
{Gene18_Down} : 53
{Gene92_UP} : 47
{Gene91_UP} : 65
{Gene61_Down} : 51
{Gene25_UP} : 57
{Gene57_Down} : 51
{Gene52_Down} : 65
{Gene69_UP} : 38
{Gene7_UP} : 49
{Gene46_UP} : 48
{Gene68_UP} : 39
{Gene95_Down} : 60
{Gene4_UP} : 50
{Gene18_UP} : 47
{Gene23_UP} : 54
{Gene80_Down} : 64
{Gene86_Down} : 54
{Gene35_UP} : 47
{Gene68_Down} : 61
{Gene31_UP} : 51
{Gene13_UP} : 32
{Gene23_Down} : 46
{Gene13_Down} : 68
{Gene61_UP} : 49
{Gene24_Down} : 63
{Gene33_Down} : 51
{Gene27_Down} : 49
{Gene67_UP} : 62
{Gene84_Down} : 46
{Gene54_Down} : 33
{Breast Cancer} : 39
{Gene99_UP} : 56
{Gene81_UP} : 58
{Gene65_UP} : 39
{Gene8_Down} : 34
{Gene32_Down} : 68
{Gene39_UP} : 51
{Gene21_Down} : 38
{Gene26_Down} : 48
{Gene52_UP} : 35
{Gene42_Down} : 52
{Gene70_Down} : 66
{Gene96_Down} : 71
{Gene97_UP} : 39
{Gene78_Down} : 41
{Gene29_Down} : 52
{Gene93_Down} : 47
{Gene95_UP} : 40
{Gene64_Down} : 50
{Gene74_UP} : 47
{Gene98_UP} : 51
{Gene90_Down} : 48
{Gene14_UP} : 52
{Gene1_Down} : 31
{Gene60_Down} : 46
{Gene94_Down} : 38
{Gene43_UP} : 50
{Gene66_UP} : 59
{Gene82_UP} : 32
{Gene89_UP} : 59
{Gene53_UP} : 50
{Gene47_UP} : 66
{Gene53_Down} : 50
{Gene87_Down} : 33
{Gene79_UP} : 48
{Gene45_UP} : 58
{Gene43_Down} : 50
{Gene62_UP} : 47
{Gene34_UP} : 44
{Gene84_UP} : 54
{Gene60_UP} : 54
{Gene37_UP} : 56
{Gene27_UP} : 51
{Gene94_UP} : 62
{Gene88_Down} : 71
{Gene87_UP} : 67
{Gene63_UP} : 50
{Gene41_Down} : 64
{Gene71_UP} : 58
{Gene67_Down} : 38
{Gene4_Down} : 50
{Gene37_Down} : 44
{Gene9_Down} : 50
{Gene44_Down} : 58
{Gene45_Down} : 42
{Gene81_Down} : 42
{Gene89_Down} : 41
{Gene79_Down} : 52
{Gene35_Down} : 53
{Gene76_UP} : 38
{Gene3_Down} : 50
{Gene25_Down} : 43
{Gene100_Down} : 53
{Gene99_Down} : 44
{Gene2_Down} : 66
{Gene10_UP} : 30
{Gene12_UP} : 54
{Gene56_UP} : 51
{Gene5_Down} : 46
{Gene36_Down} : 39
{Gene17_UP} : 55
{Gene69_Down} : 62
{Gene7_Down} : 51
{Gene58_Down} : 64
{Gene50_Down} : 50
{Gene20_Down} : 53
{Gene6_Down} : 34
{Gene72_UP} : 74
{Gene73_Down} : 52
{Gene30_Down} : 56
{Gene93_UP} : 53
{Gene51_Down} : 56
{Gene90_UP} : 52
{Gene80_UP} : 36
{Gene24_UP} : 37
{Gene2_UP} : 34
{Gene77_UP} : 58
{Gene85_UP} : 49
{Gene75_Down} : 43
{Gene56_Down} : 49
{Gene20_UP} : 47
{Gene83_Down} : 50
{Gene47_Down} : 34
{Gene48_UP} : 57
{Gene21_UP} : 62
{Gene12_Down} : 46
{Gene91_Down} : 35
{Gene85_Down} : 51
{Gene78_UP} : 59
{Gene11_UP} : 43
{Gene55_UP} : 55
{Gene48_Down} : 43
{Gene49_Down} : 52
{Gene11_Down} : 57
{Gene97_Down} : 61
{Gene82_Down} : 68
{Gene34_Down} : 56
{Gene66_Down} : 41
{Gene5_UP} : 54
{Gene76_Down} : 62
{Gene14_Down} : 48
{Gene49_UP} : 48
{Gene62_Down} : 53
{Gene22_Down} : 45
{Gene6_UP} : 66
{Gene3_UP} : 50
{Gene75_UP} : 57
{Gene73_UP} : 48
{Gene40_UP} : 47
{Gene42_UP} : 48
{Gene74_Down} : 53
{Gene71_Down} : 42
{Gene1_UP} : 69
{Gene70_UP} : 34
{Gene33_UP} : 49
{Gene44_UP} : 42
{Gene32_UP} : 32
{Gene16_UP} : 42
{Gene40_Down} : 53
{Gene15_UP} : 44
{Gene36_UP} : 61
{Gene54_UP} : 67
{Gene83_UP} : 50
{Gene31_Down} : 49
{Gene10_Down} : 70
{Gene19_UP} : 47
{Gene19_Down} : 53
{ALL} : 38
{Gene29_UP} : 48
{Gene64_UP} : 50
{Gene86_UP} : 46
{Gene22_UP} : 55
{Gene41_UP} : 36
{Gene28_Down} : 71
{Gene39_Down} : 49
{Gene26_UP} : 52
{Gene98_Down} : 49
{Gene65_Down} : 61
{Gene63_Down} : 50
{Gene59_UP} : 76
{Gene77_Down} : 42
{Gene17_Down} : 45
{Gene55_Down} : 45
{Gene100_UP} : 47
{Gene58_UP} : 36
{Gene92_Down} : 53
{Gene8_UP} : 66
{Gene15_Down} : 56
{Gene30_UP} : 44
{Gene50_UP} : 50
{Gene38_Down} : 73
{Gene16_Down} : 58
{Gene46_Down} : 52
{Gene51_UP} : 44
{Gene57_UP} : 49
printing l2
{Gene36_UP,Gene35_Down} : 32
{Gene70_Down,Gene10_Down} : 50
{Gene16_Down,Gene27_UP} : 33
{Gene76_Down,Gene52_Down} : 36
{Gene65_Down,Gene62_Down} : 30
{Gene19_UP,Gene58_Down} : 31
{Gene13_Down,Gene81_UP} : 35
{Gene52_Down,Gene33_Down} : 33
{Gene84_UP,Gene64_Down} : 32
{Gene8_UP,Gene89_UP} : 40
{Gene77_UP,Gene48_UP} : 31
{Gene68_Down,Gene1_UP} : 39
{Gene38_Down,Gene25_Down} : 31
{Gene64_UP,Gene94_UP} : 33
{Gene59_UP,Gene60_Down} : 37
{Gene3_UP,Gene76_Down} : 35
{Gene50_Down,Gene31_Down} : 30
{Gene39_UP,Gene2_Down} : 32
{Gene70_Down,Gene99_UP} : 38
{Gene38_Down,Gene36_Down} : 31
{Gene44_UP,Gene80_Down} : 31
{Gene55_UP,Gene51_Down} : 33
{Gene54_UP,Gene17_Down} : 35
{Gene72_UP,Gene48_UP} : 44
{Gene7_Down,Gene95_Down} : 35
{Gene89_UP,Gene22_UP} : 31
{Gene97_Down,Gene22_UP} : 33
{Gene11_Down,Gene57_Down} : 30
{Gene13_Down,Gene10_Down} : 47
{Gene23_UP,Gene39_Down} : 34
{Gene52_Down,Gene4_UP} : 32
{Gene77_UP,Gene31_UP} : 32
{Gene14_UP,Gene8_UP} : 32
{Gene41_Down,Gene6_UP} : 42
{Gene54_UP,Gene22_Down} : 33
{Gene8_UP,Gene30_UP} : 30
{Gene53_UP,Gene32_Down} : 34
{Gene46_Down,Gene58_Down} : 32
{Gene77_UP,Gene15_Down} : 31
{Gene38_Down,Gene60_UP} : 42
{Gene100_Down,Gene8_UP} : 32
{Gene63_UP,Gene36_UP} : 33
{Gene50_UP,Gene66_UP} : 31
{Gene7_Down,Gene94_UP} : 30
{Gene87_UP,Gene24_Down} : 43
{Gene11_Down,Gene28_Down} : 40
{Gene80_Down,Gene44_UP} : 31
{Gene88_Down,Gene5_Down} : 30
{Gene47_UP,Gene49_UP} : 36
{Gene42_Down,Gene80_Down} : 34
{Gene10_Down,Gene27_UP} : 36
{Gene87_UP,Gene78_UP} : 38
{Gene6_UP,Gene42_Down} : 35
{Gene2_Down,Gene77_UP} : 37
{Gene79_UP,Gene82_Down} : 31
{Gene1_UP,Gene93_UP} : 35
{Gene97_Down,Gene68_Down} : 37
{Gene71_UP,Gene22_UP} : 31
{Gene8_UP,Gene24_Down} : 45
{Gene80_Down,Gene42_UP} : 30
{Gene23_UP,Gene21_UP} : 35
{Gene64_UP,Gene38_Down} : 38
{Gene94_UP,Gene72_UP} : 45
{Gene16_Down,Gene80_Down} : 37
{Gene11_Down,Gene78_UP} : 37
{Gene21_Down,Gene59_UP} : 30
{Gene87_UP,Gene26_UP} : 35
{Gene1_UP,Gene79_Down} : 39
{Gene42_Down,Gene48_UP} : 31
{Gene94_UP,Gene87_UP} : 43
{Gene35_Down,Gene8_UP} : 33
{Gene86_Down,Gene70_Down} : 33
{Gene75_UP,Gene52_Down} : 38
{Gene96_Down,Gene74_Down} : 37
{Gene38_Down,Gene56_UP} : 35
{Gene79_Down,Gene38_Down} : 34
