printing l1
{Gene18_Down} : 53
{Gene9_UP} : 50
{Gene92_UP} : 47
{Gene72_UP} : 74
{Gene73_Down} : 52
{Gene91_UP} : 65
{Gene61_Down} : 51
{Gene30_Down} : 56
{Gene93_UP} : 53
{Gene25_UP} : 57
{Gene57_Down} : 51
{Gene52_Down} : 65
{Gene51_Down} : 56
{Gene7_UP} : 49
{Gene46_UP} : 48
{Gene95_Down} : 60
{Gene4_UP} : 50
{Gene90_UP} : 52
{Gene23_UP} : 54
{Gene18_UP} : 47
{Gene80_Down} : 64
{Gene86_Down} : 54
{Gene35_UP} : 47
{Gene77_UP} : 58
{Gene68_Down} : 61
{Gene23_Down} : 46
{Gene31_UP} : 51
{Gene85_UP} : 49
{Gene56_Down} : 49
{Gene75_Down} : 43
{Gene13_Down} : 68
{Gene20_UP} : 47
{Gene61_UP} : 49
{Gene83_Down} : 50
{Gene24_Down} : 63
{Gene48_UP} : 57
{Gene33_Down} : 51
{Gene12_Down} : 46
{Gene21_UP} : 62
{Gene27_Down} : 49
{Gene85_Down} : 51
{Gene67_UP} : 62
{Gene84_Down} : 46
{Gene78_UP} : 59
{Gene11_UP} : 43
{Gene55_UP} : 55
{Gene48_Down} : 43
{Gene99_UP} : 56
{Gene49_Down} : 52
{Gene81_UP} : 58
{Gene32_Down} : 68
{Gene39_UP} : 51
{Gene26_Down} : 48
{Gene11_Down} : 57
{Gene97_Down} : 61
{Gene82_Down} : 68
{Gene34_Down} : 56
{Gene42_Down} : 52
{Gene70_Down} : 66
{Gene66_Down} : 41
{Gene96_Down} : 71
{Gene5_UP} : 54
{Gene78_Down} : 41
{Gene76_Down} : 62
{Gene49_UP} : 48
{Gene14_Down} : 48
{Gene29_Down} : 52
{Gene62_Down} : 53
{Gene22_Down} : 45
{Gene6_UP} : 66
{Gene3_UP} : 50
{Gene75_UP} : 57
{Gene73_UP} : 48
{Gene93_Down} : 47
{Gene64_Down} : 50
{Gene95_UP} : 40
{Gene42_UP} : 48
{Gene40_UP} : 47
{Gene74_Down} : 53
{Gene74_UP} : 47
{Gene98_UP} : 51
{Gene71_Down} : 42
{Gene1_UP} : 69
{Gene90_Down} : 48
{Gene14_UP} : 52
{Gene44_UP} : 42
{Gene33_UP} : 49
{Gene60_Down} : 46
{Gene16_UP} : 42
{Gene43_UP} : 50
{Gene66_UP} : 59
{Gene40_Down} : 53
{Gene15_UP} : 44
{Gene54_UP} : 67
{Gene36_UP} : 61
{Gene89_UP} : 59
{Gene53_UP} : 50
{Gene53_Down} : 50
{Gene47_UP} : 66
{Gene79_UP} : 48
{Gene83_UP} : 50
{Gene45_UP} : 58
{Gene31_Down} : 49
{Gene10_Down} : 70
{Gene43_Down} : 50
{Gene19_UP} : 47
{Gene62_UP} : 47
{Gene19_Down} : 53
{Gene84_UP} : 54
{Gene34_UP} : 44
{Gene37_UP} : 56
{Gene60_UP} : 54
{Gene27_UP} : 51
{Gene94_UP} : 62
{Gene29_UP} : 48
{Gene88_Down} : 71
{Gene87_UP} : 67
{Gene64_UP} : 50
{Gene63_UP} : 50
{Gene41_Down} : 64
{Gene86_UP} : 46
{Gene71_UP} : 58
{Gene22_UP} : 55
{Gene37_Down} : 44
{Gene4_Down} : 50
{Gene9_Down} : 50
{Gene28_Down} : 71
{Gene39_Down} : 49
{Gene44_Down} : 58
{Gene26_UP} : 52
{Gene45_Down} : 42
{Gene81_Down} : 42
{Gene98_Down} : 49
{Gene65_Down} : 61
{Gene63_Down} : 50
{Gene89_Down} : 41
{Gene77_Down} : 42
{Gene59_UP} : 76
{Gene79_Down} : 52
{Gene100_UP} : 47
{Gene55_Down} : 45
{Gene17_Down} : 45
{Gene35_Down} : 53
{Gene3_Down} : 50
{Gene92_Down} : 53
{Gene25_Down} : 43
{Gene8_UP} : 66
{Gene99_Down} : 44
{Gene100_Down} : 53
{Gene15_Down} : 56
{Gene2_Down} : 66
{Gene30_UP} : 44
{Gene12_UP} : 54
{Gene56_UP} : 51
{Gene5_Down} : 46
{Gene50_UP} : 50
{Gene38_Down} : 73
{Gene17_UP} : 55
{Gene16_Down} : 58
{Gene46_Down} : 52
{Gene51_UP} : 44
{Gene69_Down} : 62
{Gene7_Down} : 51
{Gene58_Down} : 64
{Gene50_Down} : 50
{Gene57_UP} : 49
{Gene20_Down} : 53
printing l2
{Gene28_Down,Gene81_UP} : 42
{Gene65_Down,Gene87_UP} : 43
{Gene70_Down,Gene10_Down} : 50
{Gene1_UP,Gene55_UP} : 41
{Gene47_UP,Gene70_Down} : 48
{Gene65_Down,Gene59_UP} : 45
{Gene21_UP,Gene58_Down} : 46
{Gene72_UP,Gene76_Down} : 43
{Gene38_Down,Gene17_UP} : 43
{Gene8_UP,Gene89_UP} : 40
{Gene45_UP,Gene72_UP} : 44
{Gene47_UP,Gene28_Down} : 51
{Gene10_Down,Gene72_UP} : 48
{Gene38_Down,Gene3_UP} : 40
{Gene72_UP,Gene48_UP} : 44
{Gene54_UP,Gene10_Down} : 46
{Gene94_UP,Gene52_Down} : 41
{Gene72_UP,Gene43_UP} : 40
{Gene13_Down,Gene10_Down} : 47
{Gene13_Down,Gene72_UP} : 53
{Gene90_UP,Gene28_Down} : 40
{Gene1_UP,Gene82_Down} : 46
{Gene70_Down,Gene25_UP} : 43
{Gene81_UP,Gene24_Down} : 44
{Gene28_Down,Gene41_Down} : 51
{Gene41_Down,Gene6_UP} : 42
{Gene15_Down,Gene59_UP} : 40
{Gene2_Down,Gene82_Down} : 43
{Gene21_UP,Gene10_Down} : 48
{Gene88_Down,Gene72_UP} : 48
{Gene68_Down,Gene13_Down} : 41
{Gene38_Down,Gene60_UP} : 42
{Gene6_UP,Gene100_Down} : 40
{Gene87_UP,Gene24_Down} : 43
{Gene97_Down,Gene54_UP} : 41
{Gene11_Down,Gene28_Down} : 40
{Gene94_UP,Gene59_UP} : 45
{Gene66_UP,Gene82_Down} : 40
{Gene70_Down,Gene13_Down} : 45
{Gene80_Down,Gene38_Down} : 47
{Gene71_UP,Gene28_Down} : 42
{Gene38_Down,Gene34_Down} : 41
{Gene13_Down,Gene78_UP} : 41
{Gene95_Down,Gene1_UP} : 41
{Gene59_UP,Gene87_UP} : 51
{Gene72_UP,Gene65_Down} : 44
{Gene8_UP,Gene24_Down} : 45
{Gene67_UP,Gene59_UP} : 46
{Gene10_Down,Gene16_Down} : 41
{Gene34_Down,Gene70_Down} : 41
{Gene94_UP,Gene72_UP} : 45
{Gene72_UP,Gene59_UP} : 62
{Gene74_Down,Gene72_UP} : 40
{Gene99_UP,Gene88_Down} : 42
{Gene41_Down,Gene71_UP} : 41
{Gene8_UP,Gene54_UP} : 49
{Gene67_UP,Gene32_Down} : 48
{Gene94_UP,Gene87_UP} : 43
{Gene32_Down,Gene51_Down} : 41
{Gene96_Down,Gene88_Down} : 49
{Gene54_UP,Gene87_UP} : 48
{Gene80_Down,Gene88_Down} : 49
{Gene8_UP,Gene87_UP} : 44
{Gene96_Down,Gene31_UP} : 40
{Gene36_UP,Gene76_Down} : 42
{Gene6_UP,Gene80_Down} : 40
{Gene21_UP,Gene72_UP} : 48
{Gene8_UP,Gene96_Down} : 45
{Gene94_UP,Gene67_UP} : 40
{Gene1_UP,Gene94_UP} : 46
{Gene70_Down,Gene92_Down} : 40
{Gene68_Down,Gene87_UP} : 46
{Gene91_UP,Gene58_Down} : 45
{Gene90_UP,Gene88_Down} : 40
{Gene13_Down,Gene28_Down} : 50
{Gene52_Down,Gene1_UP} : 46
{Gene23_UP,Gene1_UP} : 40
{Gene88_Down,Gene99_UP} : 42
{Gene13_Down,Gene76_Down} : 41
{Gene94_UP,Gene65_Down} : 42
{Gene91_UP,Gene48_UP} : 43
{Gene54_UP,Gene80_Down} : 44
{Gene87_UP,Gene94_UP} : 43
{Gene54_UP,Gene24_Down} : 50
{Gene31_UP,Gene59_UP} : 40
{Gene66_UP,Gene59_UP} : 46
{Gene52_Down,Gene47_UP} : 45
{Gene66_UP,Gene72_UP} : 43
{Gene94_UP,Gene36_UP} : 40
{Gene72_UP,Gene100_Down} : 42
{Gene32_Down,Gene72_UP} : 50
{Gene88_Down,Gene21_UP} : 40
{Gene77_UP,Gene96_Down} : 40
{Gene52_Down,Gene6_UP} : 43
{Gene96_Down,Gene1_UP} : 47
{Gene45_UP,Gene52_Down} : 40
{Gene88_Down,Gene80_Down} : 49
{Gene10_Down,Gene70_Down} : 50
{Gene8_UP,Gene88_Down} : 51
{Gene70_Down,Gene54_UP} : 41
{Gene78_UP,Gene88_Down} : 45
{Gene49_Down,Gene82_Down} : 40
{Gene46_Down,Gene10_Down} : 40
{Gene6_UP,Gene69_Down} : 43
{Gene47_UP,Gene69_Down} : 44
{Gene68_Down,Gene28_Down} : 42
{Gene17_UP,Gene10_Down} : 40
{Gene44_Down,Gene13_Down} : 46
{Gene13_Down,Gene25_UP} : 40
{Gene8_UP,Gene81_UP} : 45
